Year,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Electric Utility Natural Gas,Woody Biomass,Electric Utility Steam Coal,Commercial Electricity,Industrial Electricity,Residential Electricity
2016,9.3900010994677,6.8138013527244,3.3168400539877,3.7555536391620,5.0967849132779,1.9706687398025,28.9722141100000,18.7777725200000,34.8611013500000
2017,10.0230025704797,7.4731047451510,3.8686572087169,3.3468214009493,5.0967849132779,2.0676002032120,29.1282320559288,19.5374937444079,34.6646538193233
2018,10.0337072155412,7.9843107853991,4.2304247357486,3.6078009129373,5.0967849132779,2.1142782942327,28.9956883805220,19.0946888127265,34.4102900699110
2019,10.1589517523240,8.5650780622071,4.6374903322667,3.9595869792694,5.0967849132779,2.1573963846469,29.3947515582111,19.3408804840691,34.9085318693984
2020,10.2896272804477,9.1477570858798,5.0398775041325,4.2992239274503,5.0967849132779,2.1900363582597,29.8859643469162,19.7007267860663,35.6166715321272
2021,10.3866335057096,9.2514909161220,5.0452222441273,4.3362295461094,5.0967849132779,2.1929897559940,30.0890711014392,19.8092319270257,35.9475203211962
2022,10.4588220909601,9.3094669856387,4.9894479534736,4.2972619462853,5.0967849132779,2.2028650611911,31.0816895027373,20.4486283192551,36.9877058658498
2023,10.5413617855356,9.3761326413006,5.0008757828968,4.3209431537283,5.0967849132779,2.2090827406318,31.4002451054731,20.5134381492546,37.5460392623709
2024,10.6713037033105,9.4891655040112,5.0866427943161,4.4388231525151,5.0967849132779,2.2092997907220,31.3379763728181,20.4593613988262,37.5108231221850
2025,10.8211962208641,9.6143446414219,5.1985543895300,4.5598555906037,5.0967849132779,2.2079918032787,31.8545641179236,20.9506225261977,38.0087976372818
2026,10.9611309731427,9.7258827967425,5.3142743134014,4.6705511366221,5.0967849132779,2.2065492258231,32.1899643241686,21.1633846923765,38.4198080481036
2027,11.3879519191398,10.0870863726665,5.4069765017212,4.7905826799715,5.0967849132779,2.1995552842693,32.2746612502085,21.2853222956886,38.4809270787522
2028,11.5243664791253,10.1986956142612,5.4988834715882,4.8909868291351,5.0967849132779,2.1903510334996,32.3470498248434,21.4236239592969,38.5298941477988
2029,11.6536799942373,10.3047373788690,5.5761078084955,4.9795195705252,5.0967849132779,2.1795345460336,32.3982755417722,21.5322826466083,38.6104320528958
2030,11.7275992933077,10.3576407318664,5.5953977798335,5.0140428564929,5.0967849132779,2.1771697426487,32.4733293777771,21.6077715306107,38.6690488466963
2031,11.8272385541621,10.4276559727635,5.6194116710393,5.0342417843224,5.0967849132779,2.1778313189063,32.4244855249390,21.6351454330386,38.6317313962482
2032,11.8778747289243,10.4535692892131,5.6053299540498,5.0303794300966,5.0967849132779,2.1809505846135,32.3370560425229,21.5857850199421,38.5678722266875
2033,11.8915735278507,10.4419481051243,5.5496627667157,4.9817061843163,5.0967849132779,2.1861806387528,32.2135896104093,21.5086289258580,38.4651269695637
2034,11.9827791131466,10.5062707571920,5.5482476759528,5.0058167528548,5.0967849132779,2.1973402359685,32.1231479656056,21.4461184998711,38.4137230630412
2035,12.1634756828074,10.6582825935306,5.6344516310035,5.1117353012542,5.0967849132779,2.2020565733004,32.1890316722525,21.5219523892571,38.5154674254258
2036,12.2594497353695,10.7229019123156,5.6381945602887,5.1218001698488,5.0967849132779,2.2177912831167,32.2013466583764,21.6002041597792,38.5270848182466
2037,12.3562569190640,10.7863516249374,5.6485162872871,5.1563490468752,5.0967849132779,2.2206593773222,32.1373424728166,21.5838723252605,38.5214727938612
2038,12.4125619872310,10.8178058794983,5.6430123140383,5.1654177598156,5.0967849132779,2.2289385587116,32.1060673556664,21.5886663835853,38.5469738099210
2039,12.4907142369694,10.8659654084712,5.6644386648671,5.1952502995102,5.0967849132779,2.2351116907539,32.0553980073096,21.6053745014483,38.5606915651871
2040,12.4963783912892,10.8387933910617,5.6215300420073,5.1548078964529,5.0967849132779,2.2481536525075,31.9857969624361,21.5547155790783,38.5683565611683
2041,12.5537649186394,10.8680856750732,5.6260767200983,5.1691436283951,5.0967849132779,2.2492673374683,31.8835796393746,21.4913246311096,38.5693688297114
2042,12.6514128160022,10.9376402769142,5.6802473044085,5.2239208155776,5.0967849132779,2.2496910116619,31.8804376260597,21.5162512700748,38.6511436359776
2043,12.7707770961921,11.0272990248859,5.7631623345112,5.3036701369406,5.0967849132779,2.2544263053336,31.9218259504709,21.5819141353634,38.7815206017501
2044,12.8864543682989,11.1146924902564,5.8199915454725,5.3698761013633,5.0967849132779,2.2540196918457,31.9677988656526,21.6632320938415,38.9291175065589
2045,13.0108885215572,11.2122579275413,5.8947240715185,5.4477553798092,5.0967849132779,2.2546357728879,32.0110306941053,21.7423672297963,39.0875877678531
2046,13.1189974750155,11.2933683140990,5.9518546882820,5.5105548899774,5.0967849132779,2.2490256441364,32.0401940750064,21.8228245704493,39.2280476107429
2047,13.2176794407122,11.3581648746607,6.0145186606209,5.5735610242490,5.0967849132779,2.2531477002169,32.0842580867745,21.8950245295036,39.3931194173579
2048,13.3639835231495,11.4658179281479,6.1247620979360,5.6745566112131,5.0967849132779,2.2540841434009,32.1229053244567,21.9762391759300,39.5952698245401
2049,13.4536062540756,11.5211941356667,6.1606322318436,5.7069198222654,5.0967849132779,2.2596705767277,32.1438833578502,22.0466032134787,39.7695506210097
2050,13.5933372257018,11.6281192657072,6.2386337786809,5.8107835034349,5.0967849132779,2.2620458060994,32.2105594394989,22.1148194977328,39.9806740116164
2051,13.6689072272804,11.6927639498400,6.2733164733479,5.8430876323796,5.1179587571541,2.2703711301923,32.2125184251092,22.1348766528058,39.9831055609729
2052,13.7448973482928,11.7577680158377,6.3081919809530,5.8755713510037,5.1392205646529,2.2787270951419,32.2144775298612,22.1549519988241,39.9855372582116
2053,13.8213099243264,11.8231334616267,6.3432613734093,5.9082356577077,5.1605707012062,2.2871138137199,32.2164367537623,22.1750455522859,39.9879691033415
2054,13.8981473039528,11.8888622962406,6.3785257285888,5.9410815564423,5.1820095337642,2.2955313991133,32.2183960968197,22.1951573297046,39.9904010963717
2055,13.9754118488001,11.9549565398820,6.4139861303559,5.9741100567395,5.2035374308012,2.3039799649255,32.2203555590407,22.2152873476085,39.9928332373112
2056,14.0504245312252,12.0191244776884,6.4484130445593,6.0061759468404,5.2223240063358,2.3125787529280,32.2250685625878,22.2374072845512,39.9986831530441
2057,14.1258398423946,12.0836368353367,6.4830247443854,6.0384139498248,5.2411784079262,2.3212096328567,32.2297822555252,22.2595492464896,40.0045339244681
2058,14.2016599434084,12.1484954614921,6.5178222216667,6.0708249895043,5.2601008804481,2.3298727244834,32.2344966379538,22.2817132553544,40.0103855517085
2059,14.2778870069662,12.2137022147424,6.5528064735590,6.1034099946493,5.2790916696611,2.3385681480268,32.2392117099744,22.3038993330976,40.0162380348904
2060,14.3545232174294,12.2792589636512,6.5879785025705,6.1361698990150,5.2981510222121,2.3472960241544,32.2439274716880,22.3261075016936,40.0220913741390
2061,14.4222216988403,12.3371701301942,6.6190485794680,6.1651091662795,5.3113630812049,2.3559838582312,32.2347383735642,22.3368232076121,40.0106856009099
2062,14.4902394583154,12.3953544160859,6.6502651883673,6.1941849162690,5.3246080872583,2.3647038478011,32.2255518942133,22.3475440566731,39.9992830781772
2063,14.5585780016267,12.4538131094057,6.6816290203395,6.2233977926605,5.3378861225327,2.3734561118782,32.2163680328890,22.3582700513452,39.9878838050145
2064,14.6272388416479,12.5125475043076,6.7131407697147,6.2527484421664,5.3511972693936,2.3822407699173,32.2071867888452,22.3690011940980,39.9764877804957
2065,14.6962234983874,12.5715589010494,6.7448011340976,6.2822375145492,5.3645416104116,2.3910579418151,32.1980081613360,22.3797374874026,39.9650950036951
